AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
Asphalt017,8K-PNG,zip,978457027,https://ambientCG.com/get?file=Asphalt017_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt017_pr8uk9a5/Asphalt017_8K-PNG.zip
Asphalt016,1K-JPG,zip,6657066,https://ambientCG.com/get?file=Asphalt016_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt016_20kvhc1y/Asphalt016_1K-JPG.zip
Asphalt016,1K-PNG,zip,15710954,https://ambientCG.com/get?file=Asphalt016_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt016_20kvhc1y/Asphalt016_1K-PNG.zip
Asphalt016,2K-JPG,zip,27020138,https://ambientCG.com/get?file=Asphalt016_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt016_20kvhc1y/Asphalt016_2K-JPG.zip
Asphalt016,2K-PNG,zip,62991914,https://ambientCG.com/get?file=Asphalt016_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt016_20kvhc1y/Asphalt016_2K-PNG.zip
Asphalt016,4K-JPG,zip,101223786,https://ambientCG.com/get?file=Asphalt016_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt016_20kvhc1y/Asphalt016_4K-JPG.zip
Asphalt016,4K-PNG,zip,246496874,https://ambientCG.com/get?file=Asphalt016_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt016_20kvhc1y/Asphalt016_4K-PNG.zip
Asphalt016,8K-JPG,zip,375831530,https://ambientCG.com/get?file=Asphalt016_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt016_20kvhc1y/Asphalt016_8K-JPG.zip
Asphalt016,8K-PNG,zip,958993642,https://ambientCG.com/get?file=Asphalt016_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt016_20kvhc1y/Asphalt016_8K-PNG.zip
PavingStonesSubstance005,HQ,sbsar,184548368,https://ambientCG.com/get?file=PavingStonesSubstance005_HQ.sbsar,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStonesSubstance005_1grlp92e/PavingStonesSubstance005_HQ.sbsar
PavingStonesSubstance005,LQ,sbsar,15285360,https://ambientCG.com/get?file=PavingStonesSubstance005_LQ.sbsar,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStonesSubstance005_1grlp92e/PavingStonesSubstance005_LQ.sbsar
PavingStones098,1K-JPG,zip,6110906,https://ambientCG.com/get?file=PavingStones098_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones098_bs8v4n72/PavingStones098_1K-JPG.zip
PavingStones098,1K-PNG,zip,13991802,https://ambientCG.com/get?file=PavingStones098_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones098_bs8v4n72/PavingStones098_1K-PNG.zip
PavingStones098,2K-JPG,zip,24866298,https://ambientCG.com/get?file=PavingStones098_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones098_bs8v4n72/PavingStones098_2K-JPG.zip
PavingStones098,2K-PNG,zip,57822906,https://ambientCG.com/get?file=PavingStones098_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones098_bs8v4n72/PavingStones098_2K-PNG.zip
PavingStones098,4K-JPG,zip,99304826,https://ambientCG.com/get?file=PavingStones098_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones098_bs8v4n72/PavingStones098_4K-JPG.zip
PavingStones098,4K-PNG,zip,229020602,https://ambientCG.com/get?file=PavingStones098_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PavingStones098_bs8v4n72/PavingStones098_4K-PNG.zip
